round	source_label	source_base	source_commit	target	target_commit	target_description	delta_status	path	source_mode	source_blob	target_mode	target_blob	comparison	later_owner	later_commits	invariant	detail
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	app/web/index.html	100644	f2eb1e0ef2277d6e30b01e59b0bad47f089cc6dd	100644	f2eb1e0ef2277d6e30b01e59b0bad47f089cc6dd	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	app/web/settings-view.mjs	100644	71ec853b245ecc4ff51749e168eb3707f3a3b0f1	100644	7b45b285885716c22f80f643f8bb57149933cb2b	authorized_later	FE05a	915cca9d0225e2e581f764849cfc8dd12569f304	WK-128 context-card shape grammar	later owner/hunk recorded in shared-invariants.tsv
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	A	app/web/skin-policy.js	100644	7623c1168ce7b75fa5246408221f34481b40a969	100644	7623c1168ce7b75fa5246408221f34481b40a969	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	app/web/styles.css	100644	61becf05c5af3c7f622c62d88aef9b2e9ff0333f	100644	9dcf36e6fe58cac8b9c2e5f4071e6ba7de8eb30a	authorized_later	FE05a+ATT+Spark	0879b32727a379d59de3499c603e84cb8b4e6e22;915cca9d0225e2e581f764849cfc8dd12569f304;c1a4052e2f3c3276ff1067d9f2ba39c8b2c051e8;9db6fc4362a07dc8ff20e1914e2ac471f20b62c1;0082fef883e49fd19538c369f20a04c111d8c602;20d8330dc6555d073a6bdec7ebf1e6bafc7aee99	FE05a tokens/density; ATT views/actions/mobile target; Spark dialog/chips	later owner/hunk recorded in shared-invariants.tsv
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	docs/runtime-control/architecture.md	100644	3fdb5e7aa1b6993839c5ce7d4a3cae40985daedd	100644	3fdb5e7aa1b6993839c5ce7d4a3cae40985daedd	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	docs/work-core/contract.md	100644	9ccbc479be11ecb8c3f29eb04b00f212ee02aa15	100644	9ccbc479be11ecb8c3f29eb04b00f212ee02aa15	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	engineering/architecture.md	100644	d9fbefaba196f769ba7de9665149313033aa1754	100644	d9fbefaba196f769ba7de9665149313033aa1754	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	engineering/current.md	100644	b5a0cd991598b9750f90195c6bff96f83b7ef729	100644	433dce416cecff7129f9ba030f9be1783ecca5bb	authorized_later	ICON	e2ab3f5ef106b6bcbbbb5a7574282a40904d3faf	WK-163 and icon provenance ledger update	later owner/hunk recorded in shared-invariants.tsv
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	engineering/design/agent-interface-2026-09-10/README.md	100644	c67d9cc6d061954d3b82a1ca1811c8424113fdf1	100644	c67d9cc6d061954d3b82a1ca1811c8424113fdf1	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	A	engineering/design/agent-interface-2026-09-10/change-template.md	100644	caf690f3ce3b3646d02b04c386fe0f944f1a54eb	100644	caf690f3ce3b3646d02b04c386fe0f944f1a54eb	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	A	engineering/design/agent-interface-2026-09-10/continuity-checklist.md	100644	c4a7f740ede8709c7aba0cade90e70bce695346f	100644	c4a7f740ede8709c7aba0cade90e70bce695346f	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	A	engineering/design/agent-interface-2026-09-10/frontend-contract.md	100644	bcd4a450658559f2b8f5257b9a6b30b59718021a	100644	bcd4a450658559f2b8f5257b9a6b30b59718021a	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	A	engineering/design/agent-interface-2026-09-10/input-conversation.md	100644	b51e4101196bc2910da489fac9401ac926188395	100644	b51e4101196bc2910da489fac9401ac926188395	retained_exact	-	-	source mode/blob equals target mode/blob	-
